Justificativa,Justificativa_processada,Classificacao
JIB 2 E ORGANIZAÇÃO DO CARREGAMENTO,jib 2 e organizacao do carregamento,
Limpeza do TK2,limpeza do tk2,
Solicitacão da supervisão trabalhei na letra B no horário de 06 as 18 02/01/2024.,solicitacao da supervisao trabalhei na letra b no horario de 06 as 18 02/01/2024.,
Solicitação da super visão Eliéder no horáio de 18 as 06 primeira noite da letra A.,solicitacao da super visao elieder no horaio de 18 as 06 primeira noite da letra a.,
Solicitado por Eliéder no horário de 18 ás 06:00,solicitado por elieder no horario de 18 as 06:00,
Solicitado em H Extra na letra [ A ] no horário de 18 ás 06:00 [AT..Eliéder ],solicitado em h extra na letra [ a ] no horario de 18 as 06:00 [at..elieder ],
LETRA A,letra a,
Solicitado pelo suoer visor Leandro Salles Pandolfe para letra A no horáio de 06 ás 18 hs 01/06/2024,solicitado pelo suoer visor leandro salles pandolfe para letra a no horaio de 06 as 18 hs 01/06/2024,
Solicitado para vir na letra B 06 ÁS 18:00,solicitado para vir na letra b 06 as 18:00,
Chamado par horas extras na letra D 18as 06:00,chamado par horas extras na letra d 18as 06:00,
Solicitado por Eliéder no horário de 18 ás 06:00 para letra [ a ].,solicitado por elieder no horario de 18 as 06:00 para letra [ a ].,
Solicitaçãodo super visor,solicitacaodo super visor,
Solicitado por Leandro Salles Pandolfi para dar suporte na letra [A] No horáio de 18 ás 06.,solicitado por leandro salles pandolfi para dar suporte na letra [a] no horaio de 18 as 06.,
letra A,letra a,
extra letra D,extra letra d,
Letra d 18 as 06,letra d 18 as 06,
AMPLIA,amplia,
Descomicionamento bat.01,descomicionamento bat.01,
Apoio a equipe D,apoio a equipe d,
Participação de RMSA,participacao de rmsa,
Workshop Praticar,workshop praticar,
Eleições municipais 1º turno em 2024.,eleicoes municipais 1o turno em 2024.,
Instabilidade operacional AF03,instabilidade operacional af03,
Atendimento operação AF02/AF03,atendimento operacao af02/af03,
Acompanhamento,acompanhamento,
RMSSMA Familiar,rmssma familiar,
cobrindo afastamento da Juliana letraC,cobrindo afastamento da juliana letrac,
cobrindo ferias do jhonathan letra A,cobrindo ferias do jhonathan letra a,
cobrindo operador da letra 'A',cobrindo operador da letra 'a',
hora extra letra D,hora extra letra d,
Elaborar croquis de dispositivos para descomissionamento da BAT#1,elaborar croquis de dispositivos para descomissionamento da bat#1,
Recolher sucata residual do CC2 inicio da bateria e CDQ,recolher sucata residual do cc2 inicio da bateria e cdq,
Prontidão Tecnico Presencial escala de carnaval,prontidao tecnico presencial escala de carnaval,
Limpeza e organização das alas dos tecnicos de Sobressalentes (Patio de materiais),limpeza e organizacao das alas dos tecnicos de sobressalentes (patio de materiais),
Leitura propostas tecnicas BAt1 e confecção de croquis para dispositivos,leitura propostas tecnicas bat1 e confeccao de croquis para dispositivos,
Continuidade na arrumação das alas externas dos planejadores,continuidade na arrumacao das alas externas dos planejadores,
Arrumação e organização alas da equipe de planejamento patio ICCT,arrumacao e organizacao alas da equipe de planejamento patio icct,
Destravamentos dos codigos de material do vagão CWQ para reforma,destravamentos dos codigos de material do vagao cwq para reforma,
Arrumação e organização das alas do patio dos planejadores,arrumacao e organizacao das alas do patio dos planejadores,
Acompanhar montagem de andaime para preparação e montagem do dispositivo coletor secundario 1 e 2,acompanhar montagem de andaime para preparacao e montagem do dispositivo coletor secundario 1 e 2,
Acompanhar in loco modificiação dos andaime na BAT 1 para preparação e montagem da raquete,acompanhar in loco modificiacao dos andaime na bat 1 para preparacao e montagem da raquete,
Preparação dos impedimentos da BAT#1 no SAP e revisão de procedimentos mecanicos,preparacao dos impedimentos da bat#1 no sap e revisao de procedimentos mecanicos,
Preparativos Montagem raquete BAT#1,preparativos montagem raquete bat#1,
Montagem raquete coletor secundario 2 BAT#1,montagem raquete coletor secundario 2 bat#1,
Montagem raquete coletor secundario 1 BAT#1,montagem raquete coletor secundario 1 bat#1,
Acompanhar desmobilização dos dispositivos e reaperto dos parafusos dos flanges de bloqueio BAT#1,acompanhar desmobilizacao dos dispositivos e reaperto dos parafusos dos flanges de bloqueio bat#1,
DESCARTE DE SUCATA DIVERSAS PATIO EXTERNO A ICCT,descarte de sucata diversas patio externo a icct,
PREPARAÇÃO TROCA DE 30 METROS TRILHO LOCOMOTIVA FRENTE TRANSFERENCIAS,preparacao troca de 30 metros trilho locomotiva frente transferencias,
Finalizado Corte das sucatas em inox do CC2 patio da ICCT,finalizado corte das sucatas em inox do cc2 patio da icct,
INCIO TROCA DE TRILHO DA LOCOMOTIVA DENTRO DA JANELA OPERACIONAL,incio troca de trilho da locomotiva dentro da janela operacional,
TROCA DE 30 METROS DE TRILHO NA LOCOMOTIVA,troca de 30 metros de trilho na locomotiva,
Separação de material para estoque e organização geral das alas dos planejadores,separacao de material para estoque e organizacao geral das alas dos planejadores,
AVALIAÇÃO DE PROPOSTA TECNICA COMERCIAL DESCOMISSIONAMENTO BAT 1 (RIP E REFRAMAX),avaliacao de proposta tecnica comercial descomissionamento bat 1 (rip e reframax),
"Catalogar materiais no patio ICCT, criação de reservas para devolução ao almoxarifado","catalogar materiais no patio icct, criacao de reservas para devolucao ao almoxarifado",
"Montagem andaime coletor terciario, atendimento MD1 trava extratora, MD3 encolder embolo","montagem andaime coletor terciario, atendimento md1 trava extratora, md3 encolder embolo",
"Estoque avançado, inventario","estoque avancado, inventario",
"Inventario, identificação e reserva de devolução de material estoque avançado","inventario, identificacao e reserva de devolucao de material estoque avancado",
ARRUMAÇÃO DE PATIO ESTOQUE AVANÇADO,arrumacao de patio estoque avancado,
Atendimento Prontidão tecnico quebra trilho locomotiva,atendimento prontidao tecnico quebra trilho locomotiva,
Atendimento ocorrencia Blackout,atendimento ocorrencia blackout,
Acompanhar reparo embolo MD3 - empresa TECNOVIX,acompanhar reparo embolo md3 - empresa tecnovix,
Reparo cabeça embolo - acompanhamento,reparo cabeca embolo - acompanhamento,
Reparo cabeça embolo - acompanhamento continuação,reparo cabeca embolo - acompanhamento continuacao,
"Atendimento unidade 201 (acompanhar TH), solicitado pelo supervisor Daniel Prontidão","atendimento unidade 201 (acompanhar th), solicitado pelo supervisor daniel prontidao",
Atualização de novos codigos de materiais no SAP,atualizacao de novos codigos de materiais no sap,
Suprindo ausência de operadores.,suprindo ausencia de operadores.,
Equipe de forno engaiolado.,equipe de forno engaiolado.,
Operação / RMSA / Operação.,operacao / rmsa / operacao.,
Troca do cilindro C.8 da Bateria 04.,troca do cilindro c.8 da bateria 04.,
Descomissionamento da Bateria 01.,descomissionamento da bateria 01.,
RMSA e Encontro de Segurança.,rmsa e encontro de seguranca.,
Superindo ausência de operadores.,superindo ausencia de operadores.,
Manobra de retirada do Compensador do F.159.,manobra de retirada do compensador do f.159.,
Manobra de reinstalação do compensator do F.159.,manobra de reinstalacao do compensator do f.159.,
NR.13,nr.13,
NR13,nr13,
NR,nr,
NR.13 - Caldeiras e vasos de pressão.,nr.13 - caldeiras e vasos de pressao.,
NR.33,nr.33,
Atraso na rendição por conta de transporte atrasado.,atraso na rendicao por conta de transporte atrasado.,
Equipe de forno engaiolado (Forno 103).,equipe de forno engaiolado (forno 103).,
Operando sala de controle após sinistro com a caldeira da CTE.,operando sala de controle apos sinistro com a caldeira da cte.,
Apoio a sala de controle após sinistro com caldeira na CTE.,apoio a sala de controle apos sinistro com caldeira na cte.,
Aguardando rendição atrasada.,aguardando rendicao atrasada.,
Reciclagem da NR.33 (Espaço confinado).,reciclagem da nr.33 (espaco confinado).,
Manobra das válvulas da Bateria 03.,manobra das valvulas da bateria 03.,
Manobra das válvulas do LM da Bateria 03.,manobra das valvulas do lm da bateria 03.,
Apoio a Sala de controle devido a desarme da CTE.,apoio a sala de controle devido a desarme da cte.,
RMSA,rmsa,
instabilidade operacional AF02,instabilidade operacional af02,
ausencia empregado,ausencia empregado,
instabilidade operacional,instabilidade operacional,
NR 11,nr 11,
NR18,nr18,
WORKSHOP,workshop,
reuinião com gerência,reuiniao com gerencia,
atendimento ocorrências blackout,atendimento ocorrencias blackout,
Falecimento da avó do Ilan,falecimento da avo do ilan,
RMSSMA letra B,rmssma letra b,
Férias do Ramiro,ferias do ramiro,
Atraso nos onibus,atraso nos onibus,
RMSSMA letra D,rmssma letra d,
Férias do Rayner,ferias do rayner,
Afastamento do Enok,afastamento do enok,
Apoio na estabilização da Casa de Corrida - uso das Coifas,apoio na estabilizacao da casa de corrida - uso das coifas,
RMS Letra C dos Altos Fornos,rms letra c dos altos fornos,
NR35 - Trabalho em Altura,nr35 - trabalho em altura,
NR33 Acesso - Espaço Confinado (revalidação),nr33 acesso - espaco confinado (revalidacao),
RMS Letra C Altos Fornos,rms letra c altos fornos,
Amplia - Workshop Praticar - Turma 1,amplia - workshop praticar - turma 1,
Brigada de Incêndio/GAT,brigada de incendio/gat,
Atendimento ocorrências blackout,atendimento ocorrencias blackout,
Instabilidade operacional no Alto Forno 1,instabilidade operacional no alto forno 1,
Afastamento do Wellington.,afastamento do wellington.,
Eleições municipais.,eleicoes municipais.,
Monitoramento de carregamento na unidade 101.,monitoramento de carregamento na unidade 101.,
NR33,nr33,
ATENDIMENTO NA OCORRENCIA DE REPARO DO RASGO DA CORREIA DE MINÉRIO 02,atendimento na ocorrencia de reparo do rasgo da correia de minerio 02,
ATENDIMENTO NA OCORRENCIA/CALIBRAÇÃO DA BALANÇA 02 DO CARREGAMENTO DO AF-01,atendimento na ocorrencia/calibracao da balanca 02 do carregamento do af-01,
CALIBRAÇÃO DA BALANÇA Nº5 DO CARREGAMENTO DO AF-01,calibracao da balanca no5 do carregamento do af-01,
ACOMPANHAMENTO NA TROCA DA PENEIRA 04 DE MINÉRIO,acompanhamento na troca da peneira 04 de minerio,
ACOMPANHAMENTO NA OCORRENCIA DA TROCA DO TAMBOR DA CTFM-03,acompanhamento na ocorrencia da troca do tambor da ctfm-03,
ATENDIMENTO OCORRENCIAS BLACKOUT,atendimento ocorrencias blackout,
ATENDIMENTO NA OCORRENCIA DE TRINCA DO TAMBOR DA CTP - AF-01,atendimento na ocorrencia de trinca do tambor da ctp - af-01,
ATENDIMENTO NA OCORRÊNCIA DE QUEBRA DO FUSIVEL MECANICO NA CORREIA DE MINÉRIO 2,atendimento na ocorrencia de quebra do fusivel mecanico na correia de minerio 2,
ATENDIMENTO EM BLOQUEIO NA CTP - ATEND SOLDA NO TAMBOR,atendimento em bloqueio na ctp - atend solda no tambor,
REALIZAÇÃO DE MANOBRAS PARA LIGAÇÃO DE GERADORES NAS SE01/SE02 E FABRIL,realizacao de manobras para ligacao de geradores nas se01/se02 e fabril,
ESCALA DE ACOMPANHAMENTO ESTABILIDADE OPERACIONAL DO AF-01,escala de acompanhamento estabilidade operacional do af-01,
"RMSSA Letra ""C""","rmssa letra ""c""",
"RMS Letra ""B"" e Work Shophing","rms letra ""b"" e work shophing",
Reinicio de operação do AF03,reinicio de operacao do af03,
Reinicio de operação do AF02,reinicio de operacao do af02,
"RMS Letra ""C""","rms letra ""c""",
RMSSMA,rmssma,
Desdobramento de metas,desdobramento de metas,
Cobrindo férias do empregado Matheus,cobrindo ferias do empregado matheus,
Manobra no CRAAF,manobra no craaf,
atraso na troca de turno,atraso na troca de turno,
Acompanhamento  AF2,acompanhamento  af2,
Motor do Ventilador do PCI3,motor do ventilador do pci3,
Prontidão Carnaval,prontidao carnaval,
AF3 - HS2 - INSTALAÇÃO DOS TERMOPARAES NA REGIÃO DA QUEDA DOS REFRATÁRIOS,af3 - hs2 - instalacao dos termoparaes na regiao da queda dos refratarios,
PRONTIDÃO CORPUS CRISTI - ATENDIMENTO NA SONDA 01 DO AF1,prontidao corpus cristi - atendimento na sonda 01 do af1,
AF1/CADINHO/DECAPAGEM DOS CIGARRÕES,af1/cadinho/decapagem dos cigarroes,
Reparo estrutural / Troca de chapas de desgaste da Caçamba 3,reparo estrutural / troca de chapas de desgaste da cacamba 3,
Montagem chapa de desgaste Caçamba 6 / Planejamento MM's,montagem chapa de desgaste cacamba 6 / planejamento mm's,
Reparo moldura e montagem de chapa de desgaste Caçamba 6,reparo moldura e montagem de chapa de desgaste cacamba 6,
Manobra da caçamba 5 / Reparo estrutural / Troca de chapas de desgaste,manobra da cacamba 5 / reparo estrutural / troca de chapas de desgaste,
Manobra da caçamba 5 / Manobra da Caçamba 7,manobra da cacamba 5 / manobra da cacamba 7,
Reparo estrutural / Troca de chapas de desgaste da Caçamba 7,reparo estrutural / troca de chapas de desgaste da cacamba 7,
Prontidão presencial carnaval,prontidao presencial carnaval,
Jateamento e pintura Balão ar comp MD-1 / Cilindro recuo gancho MD-2,jateamento e pintura balao ar comp md-1 / cilindro recuo gancho md-2,
Limpeza reservatório sistema hidráulico CC-6,limpeza reservatorio sistema hidraulico cc-6,
Conclusão planejamento máquinas móveis / caçambas de coque,conclusao planejamento maquinas moveis / cacambas de coque,
Troca da Ponta da Barra Niveladora da MD-2,troca da ponta da barra niveladora da md-2,
Jateamento e pintura balão ar comprimido da MD-1,jateamento e pintura balao ar comprimido da md-1,
Recebimento da Caçamba 2 / Planejamento OM's Máquinas Móveis,recebimento da cacamba 2 / planejamento om's maquinas moveis,
Jateamento e pintura Balão ar comp MD-2 / Planejamento OM's Máquinas Móveis,jateamento e pintura balao ar comp md-2 / planejamento om's maquinas moveis,
Planejamento OM's Máquinas Móveis,planejamento om's maquinas moveis,
Planejamento OM's CDQ,planejamento om's cdq,
Acompanhamento injeção massa refratária Boca de carga Unidade 201,acompanhamento injecao massa refrataria boca de carga unidade 201,
"Manobras da Caçamba 6, Caçamba 5 e Carro Transferência 2","manobras da cacamba 6, cacamba 5 e carro transferencia 2",
Planejamento troca pista translação Transferência 2,planejamento troca pista translacao transferencia 2,
Fechamento das janelas de visita da unidade 401 para entrada em operação,fechamento das janelas de visita da unidade 401 para entrada em operacao,
Organização da ala de materiais para implantação do estoque avançado,organizacao da ala de materiais para implantacao do estoque avancado,
Acompanhamento vibração MF-101 junto com o especialista,acompanhamento vibracao mf-101 junto com o especialista,
Aplicação manta impermeabilizante telhado Ponte 2,aplicacao manta impermeabilizante telhado ponte 2,
Organização das alas dos materiais - Projeto estoque avançado,organizacao das alas dos materiais - projeto estoque avancado,
Atendimento ocorrências blackout - Conclusão troca Serranda Descarga 101,atendimento ocorrencias blackout - conclusao troca serranda descarga 101,
Prontidão - Quebra do cilindro de comprimir molas inferior da MD-3,prontidao - quebra do cilindro de comprimir molas inferior da md-3,
Prontidão Ano Novo - Troca da Bomba P005,prontidao ano novo - troca da bomba p005,
Abertura das janelas de visita e caixa de explosão da caldeira da Unidade 101,abertura das janelas de visita e caixa de explosao da caldeira da unidade 101,
Furo na caldeira 101,furo na caldeira 101,
Furo da Caldeira da Unidade 101,furo da caldeira da unidade 101,
Redutor da Válvula DV da Unidade 101,redutor da valvula dv da unidade 101,
Reparo Caçamba 5,reparo cacamba 5,
hora extra altieri,hora extra altieri,
operação empilhadeira,operacao empilhadeira,
brigada de incendio,brigada de incendio,
hora extras letra A,hora extras letra a,
Ferias Cavati,ferias cavati,
RMS letra D,rms letra d,
Apoio à equipe de desengaiolamento.,apoio a equipe de desengaiolamento.,
Sinistro Locomotiva 02,sinistro locomotiva 02,
Apoio Equipe desengaiolamento Forno 103,apoio equipe desengaiolamento forno 103,
Apoio Equipe desengaiolamento Forno 97,apoio equipe desengaiolamento forno 97,
Reconhecimento Rating 4,reconhecimento rating 4,
Ocorrência Caçamba 03 / TC001,ocorrencia cacamba 03 / tc001,
NR13 - Segurança em operação de Unidade de processo,nr13 - seguranca em operacao de unidade de processo,
NR 13,nr 13,
Bloqueio a Cadeado,bloqueio a cadeado,
Apoio e atuação forno engaiolado,apoio e atuacao forno engaiolado,
Atendimento Ocorrências Blackout,atendimento ocorrencias blackout,
Ocorrência rompimento correia despoeiramento das Guias,ocorrencia rompimento correia despoeiramento das guias,
Fechamento de relatórios,fechamento de relatorios,
Devido rompimento da correia do despoeiramento das Guias,devido rompimento da correia do despoeiramento das guias,
Atendimento a ajustes naBateria 4 (analise de ecoline.susção e pressão de topo),atendimento a ajustes nabateria 4 (analise de ecoline.suscao e pressao de topo),
Regulagem COG na Bateria 4 para análise e validação da combustão.,regulagem cog na bateria 4 para analise e validacao da combustao.,
Cobrindo fèrias de Willian equipe A,cobrindo ferias de willian equipe a,
ajuste de combustão com COG na Bateria 4,ajuste de combustao com cog na bateria 4,
Cobrindo fèrias de Jerêmias da  equipe A,cobrindo ferias de jeremias da  equipe a,
Cross Wall campanha da Bateria 3,cross wall campanha da bateria 3,
Atendimento extra quebra da corrente C4 Bateria 4,atendimento extra quebra da corrente c4 bateria 4,
Acompanhamento na limpeza das vàlvulas de COG da Bateria 4,acompanhamento na limpeza das valvulas de cog da bateria 4,
Realizado cross wall da Bateria 2,realizado cross wall da bateria 2,
Cross wall COG da Bateria 4,cross wall cog da bateria 4,
Demanda ajuste na Bateria 4 combustão com COG.,demanda ajuste na bateria 4 combustao com cog.,
Ajuste paredes COG na Bateria 4,ajuste paredes cog na bateria 4,
Ajuste COG Bateria 4,ajuste cog bateria 4,
Blackaut,blackaut,
Ajuste Bateria 4,ajuste bateria 4,
recapeamento do tubulao de MG e limpeza das valvulas da Bateria 4,recapeamento do tubulao de mg e limpeza das valvulas da bateria 4,
leitura cross wall de pressão da Bateria 4,leitura cross wall de pressao da bateria 4,
Abafamento da Bateria 1,abafamento da bateria 1,
C 10 - Avaliação tecnica - rompimento do fusivel.,c 10 - avaliacao tecnica - rompimento do fusivel.,
BC211 - Rasgo da correia / C 5614 - Serviço na tremonha // RE 1202 - concha // CK5 Bis - Acoplamento,bc211 - rasgo da correia / c 5614 - servico na tremonha // re 1202 - concha // ck5 bis - acoplamento,
RE 1202 - Troca da concha na roda de caçamba.,re 1202 - troca da concha na roda de cacamba.,
PV 20 A - Quebra do rolamento da peneira.,pv 20 a - quebra do rolamento da peneira.,
Bateria Fixa - Serviço de recapeamento na tubulação MG.,bateria fixa - servico de recapeamento na tubulacao mg.,
Bateria Fixa - Troca do flexivel no went - LC.,bateria fixa - troca do flexivel no went - lc.,
"Turno - Acompanhamento com turno da operação , Sup. Patricio.","turno - acompanhamento com turno da operacao , sup. patricio.",
BF - Avaliação no cilindro do LC - COG.,bf - avaliacao no cilindro do lc - cog.,
Acompanhamento operacional - Sup Patricio .,acompanhamento operacional - sup patricio .,
Acompanhamento operacional - Sup Patricio  - CDQ.,acompanhamento operacional - sup patricio  - cdq.,
BAT4 - Avaliação das correntes .,bat4 - avaliacao das correntes .,
BAT 4 - Construção da analise de falha da quebra da corrente.,bat 4 - construcao da analise de falha da quebra da corrente.,
BF - Troca da tubulação de agua desminerizada.,bf - troca da tubulacao de agua desminerizada.,
Atuação nas comportas da chaminé 1.,atuacao nas comportas da chamine 1.,
Forno 94 - Preditiva - Medição de espessura.,forno 94 - preditiva - medicao de espessura.,
GC3 - Troca das rodas de apoio da grade do guia.,gc3 - troca das rodas de apoio da grade do guia.,
BAT 4 - Atuação no desarme devido curto no sensor do C8.,bat 4 - atuacao no desarme devido curto no sensor do c8.,
BAT4 - Troca do cilindro C 1.2 - MG.,bat4 - troca do cilindro c 1.2 - mg.,
Ponte2: Acompnhante e ajustes no freio.,ponte2: acompnhante e ajustes no freio.,
Serviços administrativos.,servicos administrativos.,
PGO - Bleeder´s da bateria 3.,pgo - bleeder's da bateria 3.,
Relatório - Diagnose itens criticos.,relatorio - diagnose itens criticos.,
"GC2 - Troca do oleo , bomba e valvula de ventagem .","gc2 - troca do oleo , bomba e valvula de ventagem .",
PGO - Bleeders das baterias 2 e 3 .,pgo - bleeders das baterias 2 e 3 .,
QC 101 - Boca de carga  e MD1 - cabo de aço da barra niveladora.,qc 101 - boca de carga  e md1 - cabo de aco da barra niveladora.,
Relatório dos itens criticos e solicitaçãod a Sarah.,relatorio dos itens criticos e solicitacaod a sarah.,
BAT3 - Tubulão de MG - LC e montagem de andaime na linha de licor.,bat3 - tubulao de mg - lc e montagem de andaime na linha de licor.,
BAT3 - Tubulão de MG - LC  .,bat3 - tubulao de mg - lc  .,
Atendimento ocorrencias Blackout,atendimento ocorrencias blackout,
CK06 - Acondicionamento do tambor e redutor no acionamento e solda dos cachorros no acoplamento.,ck06 - acondicionamento do tambor e redutor no acionamento e solda dos cachorros no acoplamento.,
BAT3 - Reparo externo no tubulão MG - LC.,bat3 - reparo externo no tubulao mg - lc.,
GC1 - Troca da cilindro tilt.,gc1 - troca da cilindro tilt.,
BAT3 - Acompanhamento no tubulão MG - LC. - 1º noite;,bat3 - acompanhamento no tubulao mg - lc. - 1o noite;,
BAT3 - Acompanhamento no tubulão MG - LC.e MD2  - 2º noite;,bat3 - acompanhamento no tubulao mg - lc.e md2  - 2o noite;,
BAT3  - Acompanhamento no tubulão MG - LC e MD2 - 3º noite.,bat3  - acompanhamento no tubulao mg - lc e md2 - 3o noite.,
LOC2 - troca do acoplamento da translação do motor diesel.,loc2 - troca do acoplamento da translacao do motor diesel.,
Unidade 301 - Troca do motor P-303.,unidade 301 - troca do motor p-303.,
Cobrindo férias,cobrindo ferias,
equipe com 1 a menos devido troca de letra.,equipe com 1 a menos devido troca de letra.,
cobrindo ausência de empregado na letra,cobrindo ausencia de empregado na letra,
cobrindo ferias,cobrindo ferias,
cobrindo férias de empregado,cobrindo ferias de empregado,
NR20,nr20,
NR11,nr11,
APOIO AO RETORNO AF2/PCI,apoio ao retorno af2/pci,
APOIO A OPERAÇÃO EMISSÃO H2 + ANALISE COMPORTAMENTO SONICO,apoio a operacao emissao h2 + analise comportamento sonico,
CALIBRAÇÃO CABLOCS ROTAS F1,calibracao cablocs rotas f1,
APOIO AO TURNO FALHA LEITURA TEMP FG 2 AF3,apoio ao turno falha leitura temp fg 2 af3,
RETORNO AF2,retorno af2,
LISTA PENDENCIAS / SOFTWARE LANÇAS,lista pendencias / software lancas,
IMPLEMENTAR MODIFICAÇÃO SOFTWARE INJEÇÃO/APOIO GERENCIAL OPERAÇÃO EVENTOS EXAARA,implementar modificacao software injecao/apoio gerencial operacao eventos exaara,
ACOMAPANHAMENTO E AJUSTES DOS PCIS,acomapanhamento e ajustes dos pcis,
APOIO TURNO HOPPER 3 AF3,apoio turno hopper 3 af3,
APOIO TURNO CONTROLE NIVEIS SCRUBBER,apoio turno controle niveis scrubber,
APOIO OPERAÇÃO/TURNO DESCONTROLE NIVEIS SCRUBBER,apoio operacao/turno descontrole niveis scrubber,
APOIO TURNO LIMITE SONICO HOPPER AF1,apoio turno limite sonico hopper af1,
APOIO OPERAÇÃO VASO 1 PCI2 VALVULA DESPRESSURIZAÇÃO E MS,apoio operacao vaso 1 pci2 valvula despressurizacao e ms,
APOIO TURNO ZT PCV VASO 1 PCI2 LIBERAR VASO SINAL ZT VIA HART,apoio turno zt pcv vaso 1 pci2 liberar vaso sinal zt via hart,
INVESTIGAÇÃO VA03 AF3 LANÇA DESLOCADA ANALISE IMAGEM CAMERA,investigacao va03 af3 lanca deslocada analise imagem camera,
APOIO INTERVENÇAO VENT PRINCIPAL M3,apoio intervencao vent principal m3,
PERDA SINAIS CABLOCS LINHAS PCI3 / FONTES INOPERANTES,perda sinais cablocs linhas pci3 / fontes inoperantes,
INCLUIR SELETOR NIVEL VIRTUAL NO ESTAGIO 1 DEVIDO A PROBLEMAS OBSTRUÇÃO NA LIMPEZA DE GAS,incluir seletor nivel virtual no estagio 1 devido a problemas obstrucao na limpeza de gas,
APOIO AO TURNO  AJUSTE FATOR CABLOC AF1,apoio ao turno  ajuste fator cabloc af1,
APOIO AO TURNO FALHA COMUNICAÇÃO MODBUS PLC TOPO AF3,apoio ao turno falha comunicacao modbus plc topo af3,
CALIBRAÇÃO CABLOCS ROTAS F3,calibracao cablocs rotas f3,
