Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
ACOMPANHAMENTO DO AF03,acompanhamento do af03,,Manutenção/Inspeção/Teste de Máquina
PENEIRA 3 DE COQUE TRACA DAS VIGAS,peneira 3 de coque traca das vigas,,Parada de Máquina
PENEIRA 4 DE COQUE CELULA VIBRATORIA,peneira 4 de coque celula vibratoria,,Parada de Máquina
FABRICAÇÃO DE CARRETEL PARA CIRCUITO FECHADO 1,fabricacao de carretel para circuito fechado 1,,Não Classificado
"TRABALHEI ATE  AS 13:00 E VOLTEI AS 18:00"" ACOMPANHAMENTO AF3""","trabalhei ate  as 13:00 e voltei as 18:00"" acompanhamento af3""",,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO AF3,acompanhamento af3,,Manutenção/Inspeção/Teste de Máquina
TROCA DO PERFURADOR 4 AF3,troca do perfurador 4 af3,,Manutenção/Inspeção/Teste de Máquina
TROCA DA PLATAFORMA DA CASA DE CORRIDA AF2,troca da plataforma da casa de corrida af2,,Manutenção/Inspeção/Teste de Máquina
JIB 2 E ORGANIZAÇÃO DO CARREGAMENTO,jib 2 e organizacao do carregamento,,Outros Eventos Externos
Limpeza do TK2,limpeza do tk2,,Manutenção/Inspeção/Teste de Máquina
Solicitacão da supervisão trabalhei na letra B no horário de 06 as 18 02/01/2024.,solicitacao da supervisao trabalhei na letra b no horario de 06 as 18 02/01/2024.,,Não Classificado
Solicitação da super visão Eliéder no horáio de 18 as 06 primeira noite da letra A.,solicitacao da super visao elieder no horaio de 18 as 06 primeira noite da letra a.,,Não Classificado
Solicitado por Eliéder no horário de 18 ás 06:00,solicitado por elieder no horario de 18 as 06:00,,Não Classificado
Solicitado em H Extra na letra [ A ] no horário de 18 ás 06:00 [AT..Eliéder ],solicitado em h extra na letra [ a ] no horario de 18 as 06:00 [at..elieder ],,Não Classificado
LETRA A,letra a,,Não Classificado
Solicitado pelo suoer visor Leandro Salles Pandolfe para letra A no horáio de 06 ás 18 hs 01/06/2024,solicitado pelo suoer visor leandro salles pandolfe para letra a no horaio de 06 as 18 hs 01/06/2024,,Não Classificado
Solicitado para vir na letra B 06 ÁS 18:00,solicitado para vir na letra b 06 as 18:00,,Não Classificado
Chamado par horas extras na letra D 18as 06:00,chamado par horas extras na letra d 18as 06:00,,Não Classificado
Solicitado por Eliéder no horário de 18 ás 06:00 para letra [ a ].,solicitado por elieder no horario de 18 as 06:00 para letra [ a ].,,Não Classificado
Solicitaçãodo super visor,solicitacaodo super visor,,Não Classificado
Solicitado por Leandro Salles Pandolfi para dar suporte na letra [A] No horáio de 18 ás 06.,solicitado por leandro salles pandolfi para dar suporte na letra [a] no horaio de 18 as 06.,,Substituição de Colaborador
letra A,letra a,,"Por favor, forneça a justificativa de hora extra para que eu possa classificá-la em uma das categorias."
extra letra D,extra letra d,,Não Classificado
Letra d 18 as 06,letra d 18 as 06,,Não Classificado
AMPLIA,amplia,,Não Classificado
Descomicionamento bat.01,descomicionamento bat.01,,Manutenção/Inspeção/Teste de Máquina
Apoio a equipe D,apoio a equipe d,,Substituição de Colaborador
Participação de RMSA,participacao de rmsa,,Não Classificado
Workshop Praticar,workshop praticar,,Não Classificado
Eleições municipais 1º turno em 2024.,eleicoes municipais 1o turno em 2024.,,Outros Eventos Externos
Instabilidade operacional AF03,instabilidade operacional af03,,Parada de Máquina
Atendimento operação AF02/AF03,atendimento operacao af02/af03,,Parada de Máquina
Acompanhamento,acompanhamento,,Não Classificado
RMSSMA Familiar,rmssma familiar,,Não Classificado
cobrindo afastamento da Juliana letraC,cobrindo afastamento da juliana letrac,,Substituição de Colaborador
cobrindo ferias do jhonathan letra A,cobrindo ferias do jhonathan letra a,,Substituição de Colaborador
cobrindo operador da letra 'A',cobrindo operador da letra 'a',,Substituição de Colaborador
hora extra letra D,hora extra letra d,,Não Classificado
Elaborar croquis de dispositivos para descomissionamento da BAT#1,elaborar croquis de dispositivos para descomissionamento da bat#1,,Não Classificado
Recolher sucata residual do CC2 inicio da bateria e CDQ,recolher sucata residual do cc2 inicio da bateria e cdq,,Não Classificado
Prontidão Tecnico Presencial escala de carnaval,prontidao tecnico presencial escala de carnaval,,Outros Eventos Externos
Limpeza e organização das alas dos tecnicos de Sobressalentes (Patio de materiais),limpeza e organizacao das alas dos tecnicos de sobressalentes (patio de materiais),,Outros Eventos Externos
Leitura propostas tecnicas BAt1 e confecção de croquis para dispositivos,leitura propostas tecnicas bat1 e confeccao de croquis para dispositivos,,Não Classificado
Continuidade na arrumação das alas externas dos planejadores,continuidade na arrumacao das alas externas dos planejadores,,Outros Eventos Externos
Arrumação e organização alas da equipe de planejamento patio ICCT,arrumacao e organizacao alas da equipe de planejamento patio icct,,Outros Eventos Externos
Destravamentos dos codigos de material do vagão CWQ para reforma,destravamentos dos codigos de material do vagao cwq para reforma,,Parada de Máquina
Arrumação e organização das alas do patio dos planejadores,arrumacao e organizacao das alas do patio dos planejadores,,Outros Eventos Externos
Acompanhar montagem de andaime para preparação e montagem do dispositivo coletor secundario 1 e 2,acompanhar montagem de andaime para preparacao e montagem do dispositivo coletor secundario 1 e 2,,Manutenção/Inspeção/Teste de Máquina
Acompanhar in loco modificiação dos andaime na BAT 1 para preparação e montagem da raquete,acompanhar in loco modificiacao dos andaime na bat 1 para preparacao e montagem da raquete,,Manutenção/Inspeção/Teste de Máquina
Preparação dos impedimentos da BAT#1 no SAP e revisão de procedimentos mecanicos,preparacao dos impedimentos da bat#1 no sap e revisao de procedimentos mecanicos,,Manutenção/Inspeção/Teste de Máquina
Preparativos Montagem raquete BAT#1,preparativos montagem raquete bat#1,,Manutenção/Inspeção/Teste de Máquina
Montagem raquete coletor secundario 2 BAT#1,montagem raquete coletor secundario 2 bat#1,,Manutenção/Inspeção/Teste de Máquina
Montagem raquete coletor secundario 1 BAT#1,montagem raquete coletor secundario 1 bat#1,,Manutenção/Inspeção/Teste de Máquina
Acompanhar desmobilização dos dispositivos e reaperto dos parafusos dos flanges de bloqueio BAT#1,acompanhar desmobilizacao dos dispositivos e reaperto dos parafusos dos flanges de bloqueio bat#1,,Manutenção/Inspeção/Teste de Máquina
DESCARTE DE SUCATA DIVERSAS PATIO EXTERNO A ICCT,descarte de sucata diversas patio externo a icct,,Outros Eventos Externos
PREPARAÇÃO TROCA DE 30 METROS TRILHO LOCOMOTIVA FRENTE TRANSFERENCIAS,preparacao troca de 30 metros trilho locomotiva frente transferencias,,Manutenção/Inspeção/Teste de Máquina
Finalizado Corte das sucatas em inox do CC2 patio da ICCT,finalizado corte das sucatas em inox do cc2 patio da icct,,Não Classificado
INCIO TROCA DE TRILHO DA LOCOMOTIVA DENTRO DA JANELA OPERACIONAL,incio troca de trilho da locomotiva dentro da janela operacional,,Manutenção/Inspeção/Teste de Máquina
TROCA DE 30 METROS DE TRILHO NA LOCOMOTIVA,troca de 30 metros de trilho na locomotiva,,Manutenção/Inspeção/Teste de Máquina
Separação de material para estoque e organização geral das alas dos planejadores,separacao de material para estoque e organizacao geral das alas dos planejadores,,Outros Eventos Externos
AVALIAÇÃO DE PROPOSTA TECNICA COMERCIAL DESCOMISSIONAMENTO BAT 1 (RIP E REFRAMAX),avaliacao de proposta tecnica comercial descomissionamento bat 1 (rip e reframax),,Não Classificado
"Catalogar materiais no patio ICCT, criação de reservas para devolução ao almoxarifado","catalogar materiais no patio icct, criacao de reservas para devolucao ao almoxarifado",,Outros Eventos Externos
"Montagem andaime coletor terciario, atendimento MD1 trava extratora, MD3 encolder embolo","montagem andaime coletor terciario, atendimento md1 trava extratora, md3 encolder embolo",,Manutenção/Inspeção/Teste de Máquina
"Estoque avançado, inventario","estoque avancado, inventario",,Outros Eventos Externos
"Inventario, identificação e reserva de devolução de material estoque avançado","inventario, identificacao e reserva de devolucao de material estoque avancado",,Outros Eventos Externos
ARRUMAÇÃO DE PATIO ESTOQUE AVANÇADO,arrumacao de patio estoque avancado,,Outros Eventos Externos
Atendimento Prontidão tecnico quebra trilho locomotiva,atendimento prontidao tecnico quebra trilho locomotiva,,Parada de Máquina
Atendimento ocorrencia Blackout,atendimento ocorrencia blackout,,Parada de Máquina
Acompanhar reparo embolo MD3 - empresa TECNOVIX,acompanhar reparo embolo md3 - empresa tecnovix,,Manutenção/Inspeção/Teste de Máquina
Reparo cabeça embolo - acompanhamento,reparo cabeca embolo - acompanhamento,,Manutenção/Inspeção/Teste de Máquina
Reparo cabeça embolo - acompanhamento continuação,reparo cabeca embolo - acompanhamento continuacao,,Manutenção/Inspeção/Teste de Máquina
"Atendimento unidade 201 (acompanhar TH), solicitado pelo supervisor Daniel Prontidão","atendimento unidade 201 (acompanhar th), solicitado pelo supervisor daniel prontidao",,Não Classificado
Atualização de novos codigos de materiais no SAP,atualizacao de novos codigos de materiais no sap,,Não Classificado
Suprindo ausência de operadores.,suprindo ausencia de operadores.,,Substituição de Colaborador
Equipe de forno engaiolado.,equipe de forno engaiolado.,,Manutenção/Inspeção/Teste de Máquina
Operação / RMSA / Operação.,operacao / rmsa / operacao.,,Não Classificado
Troca do cilindro C.8 da Bateria 04.,troca do cilindro c.8 da bateria 04.,,Manutenção/Inspeção/Teste de Máquina
Descomissionamento da Bateria 01.,descomissionamento da bateria 01.,,Manutenção/Inspeção/Teste de Máquina
RMSA e Encontro de Segurança.,rmsa e encontro de seguranca.,,Outros Eventos Externos
Superindo ausência de operadores.,superindo ausencia de operadores.,,Substituição de Colaborador
Manobra de retirada do Compensador do F.159.,manobra de retirada do compensador do f.159.,,Manutenção/Inspeção/Teste de Máquina
Manobra de reinstalação do compensator do F.159.,manobra de reinstalacao do compensator do f.159.,,Manutenção/Inspeção/Teste de Máquina
NR.13,nr.13,,Não Classificado
NR13,nr13,,Não Classificado
NR,nr,,"Desculpe, parece que houve um erro na sua solicitação. Por favor, forneça as justificativas de hora extra que você gostaria que eu classificasse."
NR.13 - Caldeiras e vasos de pressão.,nr.13 - caldeiras e vasos de pressao.,,Manutenção/Inspeção/Teste de Máquina
NR.33,nr.33,,"Desculpe, mas você não forneceu a justificativa para a hora extra número 33. Por favor, forneça o texto da justificativa para que eu possa classificá-la adequadamente."
Atraso na rendição por conta de transporte atrasado.,atraso na rendicao por conta de transporte atrasado.,,Outros Eventos Externos
Equipe de forno engaiolado (Forno 103).,equipe de forno engaiolado (forno 103).,,Parada de Máquina
Operando sala de controle após sinistro com a caldeira da CTE.,operando sala de controle apos sinistro com a caldeira da cte.,,Parada de Máquina
Apoio a sala de controle após sinistro com caldeira na CTE.,apoio a sala de controle apos sinistro com caldeira na cte.,,Parada de Máquina
Aguardando rendição atrasada.,aguardando rendicao atrasada.,,Substituição de Colaborador
Reciclagem da NR.33 (Espaço confinado).,reciclagem da nr.33 (espaco confinado).,,Manutenção/Inspeção/Teste de Máquina
Manobra das válvulas da Bateria 03.,manobra das valvulas da bateria 03.,,Manutenção/Inspeção/Teste de Máquina
Manobra das válvulas do LM da Bateria 03.,manobra das valvulas do lm da bateria 03.,,Manutenção/Inspeção/Teste de Máquina
Apoio a Sala de controle devido a desarme da CTE.,apoio a sala de controle devido a desarme da cte.,,Parada de Máquina
RMSA,rmsa,,Não Classificado
instabilidade operacional AF02,instabilidade operacional af02,,Parada de Máquina
ausencia empregado,ausencia empregado,,Substituição de Colaborador
instabilidade operacional,instabilidade operacional,,Parada de Máquina
NR 11,nr 11,,Não Classificado
NR18,nr18,,Não Classificado
WORKSHOP,workshop,,Outros Eventos Externos
reuinião com gerência,reuiniao com gerencia,,Outros Eventos Externos
atendimento ocorrências blackout,atendimento ocorrencias blackout,,Outros Eventos Externos
Falecimento da avó do Ilan,falecimento da avo do ilan,,Outros Eventos Externos
RMSSMA letra B,rmssma letra b,,Não Classificado
Férias do Ramiro,ferias do ramiro,,Substituição de Colaborador
Atraso nos onibus,atraso nos onibus,,Outros Eventos Externos
RMSSMA letra D,rmssma letra d,,Não Classificado
Férias do Rayner,ferias do rayner,,Substituição de Colaborador
Afastamento do Enok,afastamento do enok,,Substituição de Colaborador
Apoio na estabilização da Casa de Corrida - uso das Coifas,apoio na estabilizacao da casa de corrida - uso das coifas,,Não Classificado
RMS Letra C dos Altos Fornos,rms letra c dos altos fornos,,Manutenção/Inspeção/Teste de Máquina
NR35 - Trabalho em Altura,nr35 - trabalho em altura,,Não Classificado
NR33 Acesso - Espaço Confinado (revalidação),nr33 acesso - espaco confinado (revalidacao),,Manutenção/Inspeção/Teste de Máquina
RMS Letra C Altos Fornos,rms letra c altos fornos,,Parada de Máquina
Amplia - Workshop Praticar - Turma 1,amplia - workshop praticar - turma 1,,Outros Eventos Externos
Brigada de Incêndio/GAT,brigada de incendio/gat,,Outros Eventos Externos
Atendimento ocorrências blackout,atendimento ocorrencias blackout,,Parada de Máquina
Instabilidade operacional no Alto Forno 1,instabilidade operacional no alto forno 1,,Parada de Máquina
Afastamento do Wellington.,afastamento do wellington.,,Substituição de Colaborador
Eleições municipais.,eleicoes municipais.,,Outros Eventos Externos
Monitoramento de carregamento na unidade 101.,monitoramento de carregamento na unidade 101.,,Não Classificado
NR33,nr33,,Não Classificado
ATENDIMENTO NA OCORRENCIA DE REPARO DO RASGO DA CORREIA DE MINÉRIO 02,atendimento na ocorrencia de reparo do rasgo da correia de minerio 02,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO NA OCORRENCIA/CALIBRAÇÃO DA BALANÇA 02 DO CARREGAMENTO DO AF-01,atendimento na ocorrencia/calibracao da balanca 02 do carregamento do af-01,,Manutenção/Inspeção/Teste de Máquina
CALIBRAÇÃO DA BALANÇA Nº5 DO CARREGAMENTO DO AF-01,calibracao da balanca no5 do carregamento do af-01,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO NA TROCA DA PENEIRA 04 DE MINÉRIO,acompanhamento na troca da peneira 04 de minerio,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO NA OCORRENCIA DA TROCA DO TAMBOR DA CTFM-03,acompanhamento na ocorrencia da troca do tambor da ctfm-03,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO OCORRENCIAS BLACKOUT,atendimento ocorrencias blackout,,Outros Eventos Externos
ATENDIMENTO NA OCORRENCIA DE TRINCA DO TAMBOR DA CTP - AF-01,atendimento na ocorrencia de trinca do tambor da ctp - af-01,,Manutenção/Inspeção/Teste de Máquina
ATENDIMENTO NA OCORRÊNCIA DE QUEBRA DO FUSIVEL MECANICO NA CORREIA DE MINÉRIO 2,atendimento na ocorrencia de quebra do fusivel mecanico na correia de minerio 2,,Parada de Máquina
ATENDIMENTO EM BLOQUEIO NA CTP - ATEND SOLDA NO TAMBOR,atendimento em bloqueio na ctp - atend solda no tambor,,Manutenção/Inspeção/Teste de Máquina
REALIZAÇÃO DE MANOBRAS PARA LIGAÇÃO DE GERADORES NAS SE01/SE02 E FABRIL,realizacao de manobras para ligacao de geradores nas se01/se02 e fabril,,Manutenção/Inspeção/Teste de Máquina
ESCALA DE ACOMPANHAMENTO ESTABILIDADE OPERACIONAL DO AF-01,escala de acompanhamento estabilidade operacional do af-01,,Manutenção/Inspeção/Teste de Máquina
"RMSSA Letra ""C""","rmssa letra ""c""",,Não Classificado
"RMS Letra ""B"" e Work Shophing","rms letra ""b"" e work shophing",,Não Classificado
Reinicio de operação do AF03,reinicio de operacao do af03,,Parada de Máquina
Reinicio de operação do AF02,reinicio de operacao do af02,,Parada de Máquina
"RMS Letra ""C""","rms letra ""c""",,Não Classificado
RMSSMA,rmssma,,Não Classificado
Desdobramento de metas,desdobramento de metas,,Não Classificado
Cobrindo férias do empregado Matheus,cobrindo ferias do empregado matheus,,Substituição de Colaborador
Manobra no CRAAF,manobra no craaf,,Não Classificado
atraso na troca de turno,atraso na troca de turno,,Substituição de Colaborador
Acompanhamento  AF2,acompanhamento  af2,,Manutenção/Inspeção/Teste de Máquina
Motor do Ventilador do PCI3,motor do ventilador do pci3,,Parada de Máquina
Prontidão Carnaval,prontidao carnaval,,Outros Eventos Externos
AF3 - HS2 - INSTALAÇÃO DOS TERMOPARAES NA REGIÃO DA QUEDA DOS REFRATÁRIOS,af3 - hs2 - instalacao dos termoparaes na regiao da queda dos refratarios,,Manutenção/Inspeção/Teste de Máquina
PRONTIDÃO CORPUS CRISTI - ATENDIMENTO NA SONDA 01 DO AF1,prontidao corpus cristi - atendimento na sonda 01 do af1,,Outros Eventos Externos
AF1/CADINHO/DECAPAGEM DOS CIGARRÕES,af1/cadinho/decapagem dos cigarroes,,Não Classificado
Reparo estrutural / Troca de chapas de desgaste da Caçamba 3,reparo estrutural / troca de chapas de desgaste da cacamba 3,,Manutenção/Inspeção/Teste de Máquina
Montagem chapa de desgaste Caçamba 6 / Planejamento MM's,montagem chapa de desgaste cacamba 6 / planejamento mm's,,Manutenção/Inspeção/Teste de Máquina
Reparo moldura e montagem de chapa de desgaste Caçamba 6,reparo moldura e montagem de chapa de desgaste cacamba 6,,Manutenção/Inspeção/Teste de Máquina
Manobra da caçamba 5 / Reparo estrutural / Troca de chapas de desgaste,manobra da cacamba 5 / reparo estrutural / troca de chapas de desgaste,,Manutenção/Inspeção/Teste de Máquina
Manobra da caçamba 5 / Manobra da Caçamba 7,manobra da cacamba 5 / manobra da cacamba 7,,Manutenção/Inspeção/Teste de Máquina
Reparo estrutural / Troca de chapas de desgaste da Caçamba 7,reparo estrutural / troca de chapas de desgaste da cacamba 7,,Manutenção/Inspeção/Teste de Máquina
Prontidão presencial carnaval,prontidao presencial carnaval,,Outros Eventos Externos
Jateamento e pintura Balão ar comp MD-1 / Cilindro recuo gancho MD-2,jateamento e pintura balao ar comp md-1 / cilindro recuo gancho md-2,,Manutenção/Inspeção/Teste de Máquina
Limpeza reservatório sistema hidráulico CC-6,limpeza reservatorio sistema hidraulico cc-6,,Manutenção/Inspeção/Teste de Máquina
Conclusão planejamento máquinas móveis / caçambas de coque,conclusao planejamento maquinas moveis / cacambas de coque,,Manutenção/Inspeção/Teste de Máquina
Troca da Ponta da Barra Niveladora da MD-2,troca da ponta da barra niveladora da md-2,,Manutenção/Inspeção/Teste de Máquina
Jateamento e pintura balão ar comprimido da MD-1,jateamento e pintura balao ar comprimido da md-1,,Manutenção/Inspeção/Teste de Máquina
Recebimento da Caçamba 2 / Planejamento OM's Máquinas Móveis,recebimento da cacamba 2 / planejamento om's maquinas moveis,,Manutenção/Inspeção/Teste de Máquina
Jateamento e pintura Balão ar comp MD-2 / Planejamento OM's Máquinas Móveis,jateamento e pintura balao ar comp md-2 / planejamento om's maquinas moveis,,Manutenção/Inspeção/Teste de Máquina
Planejamento OM's Máquinas Móveis,planejamento om's maquinas moveis,,Manutenção/Inspeção/Teste de Máquina
Planejamento OM's CDQ,planejamento om's cdq,,Não Classificado
Acompanhamento injeção massa refratária Boca de carga Unidade 201,acompanhamento injecao massa refrataria boca de carga unidade 201,,Manutenção/Inspeção/Teste de Máquina
"Manobras da Caçamba 6, Caçamba 5 e Carro Transferência 2","manobras da cacamba 6, cacamba 5 e carro transferencia 2",,Manutenção/Inspeção/Teste de Máquina
Planejamento troca pista translação Transferência 2,planejamento troca pista translacao transferencia 2,,Manutenção/Inspeção/Teste de Máquina
Fechamento das janelas de visita da unidade 401 para entrada em operação,fechamento das janelas de visita da unidade 401 para entrada em operacao,,Manutenção/Inspeção/Teste de Máquina
Organização da ala de materiais para implantação do estoque avançado,organizacao da ala de materiais para implantacao do estoque avancado,,Outros Eventos Externos
Acompanhamento vibração MF-101 junto com o especialista,acompanhamento vibracao mf-101 junto com o especialista,,Manutenção/Inspeção/Teste de Máquina
Aplicação manta impermeabilizante telhado Ponte 2,aplicacao manta impermeabilizante telhado ponte 2,,Não Classificado
Organização das alas dos materiais - Projeto estoque avançado,organizacao das alas dos materiais - projeto estoque avancado,,Outros Eventos Externos
Atendimento ocorrências blackout - Conclusão troca Serranda Descarga 101,atendimento ocorrencias blackout - conclusao troca serranda descarga 101,,Parada de Máquina
Prontidão - Quebra do cilindro de comprimir molas inferior da MD-3,prontidao - quebra do cilindro de comprimir molas inferior da md-3,,Parada de Máquina
Prontidão Ano Novo - Troca da Bomba P005,prontidao ano novo - troca da bomba p005,,Manutenção/Inspeção/Teste de Máquina
Abertura das janelas de visita e caixa de explosão da caldeira da Unidade 101,abertura das janelas de visita e caixa de explosao da caldeira da unidade 101,,Manutenção/Inspeção/Teste de Máquina
Furo na caldeira 101,furo na caldeira 101,,Parada de Máquina
Furo da Caldeira da Unidade 101,furo da caldeira da unidade 101,,Parada de Máquina
Redutor da Válvula DV da Unidade 101,redutor da valvula dv da unidade 101,,Manutenção/Inspeção/Teste de Máquina
Reparo Caçamba 5,reparo cacamba 5,,Manutenção/Inspeção/Teste de Máquina
hora extra altieri,hora extra altieri,,Não Classificado
operação empilhadeira,operacao empilhadeira,,Não Classificado
brigada de incendio,brigada de incendio,,Outros Eventos Externos
hora extras letra A,hora extras letra a,,Não Classificado
Ferias Cavati,ferias cavati,,Substituição de Colaborador
RMS letra D,rms letra d,,Não Classificado
Apoio à equipe de desengaiolamento.,apoio a equipe de desengaiolamento.,,Não Classificado
Sinistro Locomotiva 02,sinistro locomotiva 02,,Parada de Máquina
Apoio Equipe desengaiolamento Forno 103,apoio equipe desengaiolamento forno 103,,Manutenção/Inspeção/Teste de Máquina
Apoio Equipe desengaiolamento Forno 97,apoio equipe desengaiolamento forno 97,,Manutenção/Inspeção/Teste de Máquina
Reconhecimento Rating 4,reconhecimento rating 4,,Não Classificado
Ocorrência Caçamba 03 / TC001,ocorrencia cacamba 03 / tc001,,Não Classificado
NR13 - Segurança em operação de Unidade de processo,nr13 - seguranca em operacao de unidade de processo,,Manutenção/Inspeção/Teste de Máquina
NR 13,nr 13,,Não Classificado
Bloqueio a Cadeado,bloqueio a cadeado,,Manutenção/Inspeção/Teste de Máquina
Apoio e atuação forno engaiolado,apoio e atuacao forno engaiolado,,Parada de Máquina
Atendimento Ocorrências Blackout,atendimento ocorrencias blackout,,Outros Eventos Externos
Ocorrência rompimento correia despoeiramento das Guias,ocorrencia rompimento correia despoeiramento das guias,,Parada de Máquina
Fechamento de relatórios,fechamento de relatorios,,Não Classificado
Devido rompimento da correia do despoeiramento das Guias,devido rompimento da correia do despoeiramento das guias,,Parada de Máquina
Atendimento a ajustes naBateria 4 (analise de ecoline.susção e pressão de topo),atendimento a ajustes nabateria 4 (analise de ecoline.suscao e pressao de topo),,Manutenção/Inspeção/Teste de Máquina
Regulagem COG na Bateria 4 para análise e validação da combustão.,regulagem cog na bateria 4 para analise e validacao da combustao.,,Manutenção/Inspeção/Teste de Máquina
Cobrindo fèrias de Willian equipe A,cobrindo ferias de willian equipe a,,Substituição de Colaborador
ajuste de combustão com COG na Bateria 4,ajuste de combustao com cog na bateria 4,,Manutenção/Inspeção/Teste de Máquina
Cobrindo fèrias de Jerêmias da  equipe A,cobrindo ferias de jeremias da  equipe a,,Substituição de Colaborador
Cross Wall campanha da Bateria 3,cross wall campanha da bateria 3,,Manutenção/Inspeção/Teste de Máquina
Atendimento extra quebra da corrente C4 Bateria 4,atendimento extra quebra da corrente c4 bateria 4,,Parada de Máquina
Acompanhamento na limpeza das vàlvulas de COG da Bateria 4,acompanhamento na limpeza das valvulas de cog da bateria 4,,Manutenção/Inspeção/Teste de Máquina
Realizado cross wall da Bateria 2,realizado cross wall da bateria 2,,Manutenção/Inspeção/Teste de Máquina
